"","value"
"1",0.643
"2",1.008
"3",0.684
"4",0.806
"5",0.806
"6",1.088
"7",0.643
"8",0.643
"9",0.846
"10",0.966
"11",1.088
"12",0.524
"13",0.806
"14",0.483
"15",0.725
"16",0.725
"17",0.684
"18",0.725
"19",0.966
"20",1.088
"21",1.048
"22",0.846
"23",1.25
"24",0.684
"25",0.925
"26",1.652
"27",1.088
"28",1.088
"29",0.725
"30",0.765
"31",0.925
"32",1.329
"33",0.846
"34",0.887
"35",0.643
"36",0.564
"37",0.362
"38",0.966
"39",0.806
"40",0.564
"41",0.684
"42",0.16
"43",0.32
"44",0.442
"45",0.725
"46",0.765
"47",0.684
"48",0.643
"49",0.684
"50",0.887
"51",0.564
"52",0.362
"53",0.24
"54",0.887
"55",0.442
"56",0.442
"57",0.887
"58",0.765
"59",0.765
"60",1.008
"61",0.846
"62",0.925
"63",1.008
"64",0.887
"65",0.24
"66",0.725
"67",0.643
"68",0.643
"69",0.362
"70",0.643
"71",0.725
"72",0.603
"73",0.442
"74",0.442
"75",0.765
"76",0.524
"77",0.887
"78",0.643
"79",0.684
"80",0.442
"81",0.684
"82",0.603
"83",0.684
"84",0.603
"85",0.643
"86",0.806
"87",0.966
"88",0.483
"89",0.806
"90",0.725
"91",0.524
"92",0.725
"93",0.846
"94",0.966
"95",0.846
"96",0.925
"97",1.088
"98",1.008
"99",1.008
"100",0.564
"101",0.524
"102",0.403
"103",0.684
"104",1.048
"105",0.643
"106",0.643
"107",1.048
"108",0.765
"109",0.403
"110",1.209
"111",0.925
"112",0.483
"113",0.725
"114",0.725
"115",1.167
"116",0.887
"117",0.643
"118",0.966
"119",0.846
"120",0.806
"121",1.411
"122",1.128
"123",0.564
"124",0.925
"125",0.725
"126",0.524
"127",0.643
"128",0.887
"129",0.684
"130",0.846
"131",1.008
"132",0.684
"133",0.643
"134",0.765
"135",0.362
"136",0.524
"137",0.32
"138",0.765
"139",1.048
"140",0.524
"141",1.008
"142",0.925
"143",0.564
"144",1.048
"145",0.2
"146",1.008
"147",0.806
"148",0.725
"149",0.684
"150",0.564
"151",0.603
"152",0.725
"153",0.925
"154",0.765
"155",0.725
"156",0.684
"157",0.725
"158",1.167
"159",1.048
"160",0.765
"161",0.362
"162",0.887
"163",1.008
"164",0.483
"165",0.403
"166",1.167
"167",0.925
"168",1.128
"169",2.016
"170",1.436
"171",0.929
"172",1.226
"173",0.824
"174",1.271
"175",0.876
"176",0.893
"177",1.222
"178",1.493
"179",0.65
"180",0.851
"181",0.429
"182",0.929
"183",0.925
"184",0.949
"185",1.191
"186",1.101
"187",0.949
"188",1.618
"189",0.945
"190",0.967
"191",1.074
"192",1.354
"193",1.094
"194",0.645
"195",0.567
"196",0.582
"197",0.883
"198",1.176
"199",1.194
"200",0.552
"201",0.614
"202",1.07
"203",1.101
"204",1.197
"205",0.875
"206",0.993
"207",0.587
"208",0.602
"209",0.742
"210",0.746
"211",0.805
"212",1.327
"213",0.974
"214",0.996
"215",0.351
"216",0.796
"217",1.588
"218",1.246
"219",0.849
"220",1.012
"221",1.019
"222",0.972
"223",0.557
"224",0.407
"225",0.398
"226",0.306
"227",0.458
"228",0.889
"229",0.901
"230",0.904
"231",0.657
"232",1.228
"233",1.372
"234",0.892
"235",0.661
"236",1.356
"237",1.195
"238",0.518
"239",0.856
"240",0.868
"241",1.055
"242",1.016
"243",0.759
"244",0.734
"245",0.524
"246",0.876
"247",1.02
"248",0.609
"249",1.108
"250",0.781
"251",1.415
"252",1.307
"253",1.17
"254",1.432
"255",0.913
"256",1.589
"257",0.812
"258",1.423
"259",1.452
"260",1.06
"261",0.597
"262",0.919
"263",0.603
"264",0.985
"265",0.954
"266",0.989
"267",1.193
"268",1.583
"269",1.231
"270",1.804
"271",1.408
"272",1.014
"273",0.978
"274",0.557
"275",0.927
"276",1.351
"277",1.086
"278",1.248
"279",0.851
"280",1.493
"281",1.156
"282",1.073
"283",1.243
"284",1.055
"285",1.055
"286",1.428
"287",0.725
"288",1.206
"289",0.919
"290",1.163
"291",0.516
"292",1.045
"293",0.579
"294",0.884
"295",1.175
"296",1.371
"297",0.71
"298",1.41
"299",1.241
"300",0.898
"301",1.163
"302",1.367
"303",0.903
"304",1.298
"305",1.223
"306",0.745
"307",0.797
"308",0.772
"309",1.152
"310",1.179
"311",1.563
"312",1.148
"313",0.862
"314",1.013
"315",0.657
"316",0.975
"317",0.771
"318",0.629
"319",0.809
"320",0.8
"321",0.423
"322",0.649
"323",0.736
"324",0.622
"325",0.934
"326",0.508
"327",0.625
"328",0.727
"329",0.727
"330",1.245
"331",1.274
"332",0.981
"333",1.436
"334",1.058
"335",0.91
"336",0.857
"337",0.929
"338",1.077
"339",0.788
"340",1.11
"341",1.39
"342",1.075
"343",1.162
"344",0.994
"345",1.403
"346",1.149
"347",1.013
"348",1.052
"349",1.128
"350",1.155
"351",1.164
"352",1.186
"353",1.139
"354",1.353
"355",1.617
"356",1.219
"357",1.547
"358",0.891
"359",0.711
"360",1.052
"361",0.707
"362",0.611
"363",0.642
"364",0.69
"365",1.287
"366",0.941
"367",0.743
"368",1.076
"369",0.638
"370",0.484
"371",0.85
"372",1.384
"373",0.913
"374",0.96
"375",0.927
"376",0.716
"377",0.704
"378",0.576
"379",0.748
"380",0.671
"381",1.056
"382",0.814
"383",0.571
"384",0.878
"385",0.578
"386",0.717
"387",0.65
"388",1.015
"389",1.19
"390",0.897
"391",0.572
"392",0.565
"393",1.154
"394",1.1
"395",1.063
"396",0.798
"397",0.574
"398",0.9
"399",0.49
"400",0.271
"401",0.787
"402",0.291
"403",0.654
"404",0.771
"405",0.591
"406",0.594
"407",0.846
"408",0.825
"409",0.815
"410",0.999
"411",0.701
"412",0.739
"413",1.103
"414",0.465
"415",0.314
"416",0.459
"417",0.627
"418",0.733
"419",0.704
"420",0.693
"421",0.697
"422",0.848
"423",0.593
"424",0.587
"425",0.879
"426",0.992
"427",0.803
"428",0.759
"429",1.024
"430",0.9
"431",0.855
"432",0.977
"433",0.916
"434",1.01
"435",0.901
"436",0.662
"437",0.488
"438",0.995
"439",0.936
"440",0.691
"441",0.503
