"","value"
"1",1.73
"2",2.13
"3",1.89
"4",25.74
"5",41.63
"6",15.8
"7",5.64
"8",3.23
"9",6.43
"10",19.43
"11",8.58
"12",4.36
"13",2.39
"14",1.59
"15",8.07
"16",26.19
"17",25.6
"18",21.55
"19",6.26
"20",4.33
"21",4.73
"22",4.08
"23",6.91
"24",3.23
"25",1.91
"26",0.95
"27",3.6
"28",26.96
"29",19.71
"30",21.95
"31",13.45
"32",5.44
"33",17.95
"34",26.33
"35",9.17
"36",5.15
"37",3.94
"38",2.97
"39",7.28
"40",62.86
"41",62.86
"42",28.88
"43",25.68
"44",10.51
"45",6.68
"46",6.46
"47",4.98
"48",3.79
"49",2.41
"50",1.87
"51",2.54
"52",60.6
"53",32.56
"54",32
"55",22.74
"56",15.49
"57",15.55
"58",14.3
"59",13.03
"60",6.91
"61",3.14
"62",2.39
"63",4.33
"64",26.53
"65",19.82
"66",12.03
"67",3.62
"68",2.02
"69",2.19
"70",3.11
"71",8.86
"72",3.2
"73",3.17
"74",2.74
"75",2.3
"76",18.29
"77",36.53
"78",18.38
"79",11.95
"80",4.98
"81",4.19
"82",9.34
"83",32.85
"84",12.83
"85",5.41
"86",3.88
"87",3.17
"88",12.74
"89",25.32
"90",17.39
"91",9.68
"92",2.13
"93",3.45
"94",9.49
"95",18.38
"96",5.61
"97",3.77
"98",3.28
"99",3.77
"100",38.79
"101",40.78
"102",19.91
"103",9.32
"104",5.86
"105",3.23
"106",2.66
"107",19.88
"108",10.62
"109",5.8
"110",4.67
"111",4.36
"112",40.78
"113",35.68
"114",20.56
"115",7.22
"116",3.31
"117",6.65
"118",11.58
"119",11.02
"120",5.69
"121",4.47
"122",4.28
"123",3.96
"124",17.95
"125",82.4
"126",35.96
"127",8.55
"128",3.65
"129",5.72
"130",14.87
"131",14.05
"132",7.93
"133",6.43
"134",6.09
"135",8.55
"136",54.93
"137",38.51
"138",35.96
"139",10.99
"140",5.66
"141",4.64
"142",4.05
"143",6.57
"144",3.96
"145",3.06
"146",2.24
"147",2.55
"148",28.6
"149",80.42
"150",15.66
"151",6.65
"152",2.4
"153",2.42
"154",1.93
"155",2.34
"156",2.32
"157",2.97
"158",2.51
"159",2.72
"160",58.05
"161",45.31
"162",37.94
"163",8.86
"164",3.4
"165",4.05
"166",5.58
"167",6.2
"168",2.97
"169",2.34
"170",2.83
"171",14.27
"172",50.12
"173",47.01
"174",21.21
"175",9.37
"176",8.27
"177",4.28
"178",3.31
"179",6.88
"180",2.83
"181",4.28
"182",3.37
"183",3.71
"184",30.58
"185",56.07
"186",32.28
"187",10.56
"188",5.49
"189",4.39
"190",4.81
"191",2.92
"192",2.44
"193",1.61
"194",1.77
"195",1.89
"196",12.32
"197",40.49
"198",33.98
"199",10.14
"200",4.5
"201",2.17
"202",1.42
"203",5.38
"204",2.39
"205",2.07
"206",1.67
"207",1.7
"208",58.05
"209",28.88
"210",19.68
"211",16.45
"212",3.28
"213",17.84
"214",20.39
"215",7.11
"216",4.79
"217",3.31
"218",2.57
"219",3.99
"220",43.32
"221",59.75
"222",20.36
"223",6.77
"224",2.53
"225",2.86
"226",8.18
"227",7.65
"228",3.91
"229",2.97
"230",2.82
"231",3.14
"232",34.26
"233",58.62
"234",51.25
"235",15.43
"236",6.12
"237",6.14
"238",7.22
"239",7.39
"240",3.88
"241",3.4
"242",2.83
"243",2.52
"244",21.1
"245",65.7
"246",57.77
"247",20.81
"248",12.03
"249",18.29
"250",8.24
"251",9.63
"252",4.47
"253",2.27
"254",2.21
"255",33.13
"256",55.78
"257",38.23
"258",13.71
"259",7.59
"260",8.66
"261",2.71
"262",1.72
"263",2.41
"264",1.78
"265",1.97
"266",2.02
"267",17.9
"268",26.65
"269",22.48
"270",18.24
"271",9.32
"272",2.06
"273",15.18
"274",25.37
"275",12.32
"276",6.29
"277",4.16
"278",2.97
"279",2.86
"280",10.79
"281",84.67
"282",79.29
"283",22.74
"284",9.34
"285",4.3
"286",3.06
"287",7.9
"288",3.51
"289",2.81
"290",2.72
"291",2.59
"292",70.23
"293",61.16
"294",14.36
"295",6.06
"296",5.38
"297",3.85
"298",2.38
"299",3.06
"300",2.3
"301",2.55
"302",2.47
"303",2.51
"304",39.08
"305",27.33
"306",9.15
"307",11.44
"308",5.18
"309",3.11
"310",15.12
"311",6.06
"312",3.2
"313",3.17
"314",3.57
"315",4.05
"316",10.82
"317",113.83
"318",42.48
"319",27.58
"320",29.17
"321",11.52
"322",20.13
"323",10.51
"324",8.83
"325",6.94
"326",6.23
"327",6.46
"328",47.57
"329",85.52
"330",31.43
"331",9.57
"332",5.38
"333",18.35
"334",24.41
"335",20.78
"336",14.22
"337",8.89
"338",6.77
"339",5.41
"340",37.66
"341",30.02
"342",12.4
"343",16.76
"344",16.11
"345",7.11
"346",4.22
"347",3.51
"348",2.92
"349",2.8
"350",2.86
"351",3.54
"352",25.71
"353",46.44
"354",43.89
"355",14.33
"356",7.02
"357",5.15
"358",3.57
"359",2.72
"360",2.36
"361",1.65
"362",1.77
"363",2.11
"364",36.53
"365",77.59
"366",32.56
"367",13.17
"368",7.65
"369",5.89
"370",4.28
"371",3.99
"372",2.86
"373",2.62
"374",2.78
"375",3.43
"376",43.32
"377",16.62
"378",6.17
"379",3.94
"380",2.92
"381",2.44
"382",7.25
"383",10.53
"384",4.19
"385",4.22
"386",4.36
"387",3.96
"388",29.17
"389",65.7
"390",19.77
"391",9.03
"392",5.97
"393",7.99
"394",4.19
"395",5.44
"396",4.39
"397",3.4
