"","value"
"1",1291
"2",1300
"3",1312
"4",1366
"5",1351
"6",1267
"7",1238
"8",1317
"9",1309
"10",1471
"11",1401
"12",1315
"13",1177
"14",1345
"15",1482
"16",1450
"17",1549
"18",1618
"19",1594
"20",1584
"21",1671
"22",1490
"23",1364
"24",1154
"25",1126
"26",1220
"27",1331
"28",1506
"29",1576
"30",1484
"31",1598
"32",1720
"33",1977
"34",2208
"35",2465
"36",2611
"37",2538
"38",2211
"39",2150
"40",2208
"41",2172
"42",2342
"43",2485
"44",2517
"45",2587
"46",2506
"47",2650
"48",2652
"49",2642
"50",2569
"51",2688
"52",2699
"53",2707
"54",2841
"55",2912
"56",3029
"57",3181
"58",3349
"59",3399
"60",3522
"61",3577
"62",3516
