"","value"
"1",395
"2",118
"3",385
"4",1008
"5",1096
"6",512
"7",217
"8",1432
"9",4682
"10",1861
"11",292
"12",1300
"13",731
"14",753
"15",1394
"16",498
"17",115
"18",501
"19",306
"20",1167
"21",628
"22",1503
"23",2585
"24",1119
"25",979
"26",1216
"27",1061
"28",360
"29",607
"30",2759
"31",796
"32",490
"33",1494
"34",4489
"35",1879
"36",248
"37",3237
"38",5019
"39",1189
"40",159
"41",632
"42",3502
"43",547
"44",78
"45",131
"46",704
"47",429
"48",29
"49",344
"50",1607
"51",768
"52",296
"53",2397
"54",9797
"55",1806
"56",497
