"","value"
"1",315
"2",340
"3",321
"4",273
"5",175
"6",127
"7",112
"8",116
"9",116
"10",110
"11",149
"12",211
"13",328
"14",352
"15",378
"16",334
"17",209
"18",177
"19",181
"20",194
"21",214
"22",223
"23",318
"24",422
"25",579
"26",600
"27",638
"28",553
"29",388
"30",339
"31",310
"32",317
"33",284
"34",328
"35",378
"36",466
"37",577
"38",570
"39",553
"40",466
"41",354
"42",248
"43",239
"44",257
"45",224
"46",250
"47",316
"48",405
"49",546
"50",597
"51",607
"52",550
"53",417
"54",313
"55",328
"56",350
"57",325
"58",366
"59",426
"60",525
"61",690
"62",716
"63",702
"64",619
"65",454
"66",367
"67",351
"68",320
"69",305
"70",315
"71",347
"72",411
"73",543
"74",582
"75",559
"76",484
"77",335
"78",300
"79",307
"80",279
"81",259
"82",282
"83",342
"84",414
"85",541
"86",546
"87",550
"88",463
"89",347
"90",305
"91",294
"92",271
"93",251
"94",266
"95",303
"96",346
"97",466
"98",467
"99",456
"100",403
"101",293
"102",282
"103",265
"104",246
"105",217
"106",257
"107",257
"108",284
"109",407
"110",397
"111",387
"112",371
"113",265
"114",257
"115",244
"116",211
"117",176
"118",171
"119",220
"120",252
"121",359
"122",356
"123",341
"124",298
"125",247
"126",230
"127",244
"128",228
"129",205
"130",195
"131",238
"132",266
"133",381
"134",396
"135",400
"136",365
"137",304
"138",292
"139",284
"140",247
"141",219
"142",254
"143",289
"144",353
"145",464
"146",482
"147",488
"148",436
"149",366
"150",395
"151",371
"152",319
"153",262
"154",288
"155",338
"156",373
"157",467
"158",473
"159",448
"160",432
"161",386
"162",383
"163",349
"164",318
"165",279
"166",314
"167",354
"168",383
"169",485
"170",526
"171",542
"172",544
"173",513
"174",529
"175",518
"176",448
"177",398
"178",419
"179",476
"180",538
"181",668
"182",675
"183",650
"184",659
"185",543
"186",551
"187",514
"188",455
"189",434
"190",447
"191",503
"192",530
"193",665
"194",627
"195",642
"196",592
"197",552
"198",568
"199",543
"200",503
"201",459
"202",483
"203",524
"204",584
"205",688
"206",655
"207",608
"208",570
"209",493
"210",503
"211",461
"212",433
"213",421
"214",429
"215",468
"216",512
"217",637
"218",635
"219",599
"220",568
"221",524
"222",469
"223",465
"224",447
"225",431
"226",430
"227",493
"228",597
"229",817
"230",839
"231",840
"232",795
"233",714
"234",704
"235",653
"236",623
"237",586
"238",576
"239",640
"240",697
