"","value"
"1",864.884
"2",1033.141
"3",826.9233
"4",1018.777
"5",1118.296
"6",1100.854
"7",978.7654
"8",1132.659
"9",1291.683
"10",1466.096
"11",964.4021
"12",819.7417
"13",954.1426
"14",1092.646
"15",945.9348
"16",1037.244
"17",1143.944
"18",1112.139
"19",895.6628
"20",1075.206
"21",1043.401
"22",888.4812
"23",1044.426
"24",1271.164
"25",809.4822
"26",918.2339
"27",961.3242
"28",844.3647
"29",890.533
"30",1163.438
"31",986.9731
"32",1054.686
"33",895.6628
"34",1097.776
"35",915.156
"36",1179.853
"37",1119.321
"38",1043.401
"39",1237.307
"40",1180.879
"41",872.0657
"42",957.2205
"43",1079.309
"44",1173.697
"45",1083.413
"46",1239.359
"47",851.5464
"48",1177.801
"49",954.1426
"50",783.833
"51",701.7563
"52",872.0657
"53",1228.073
"54",1043.401
"55",851.5464
"56",903.8704
"57",961.3242
"58",762.2881
"59",960.2981
"60",1260.904
"61",1006.466
"62",1010.57
"63",795.1187
"64",1004.414
"65",915.156
"66",1021.855
"67",836.157
"68",846.4167
"69",1347.084
"70",1164.464
"71",1139.841
"72",1138.814
"73",919.2598
"74",1170.619
"75",871.0396
"76",1256.801
"77",903.8704
"78",679.1853
"79",978.7654
"80",849.4946
"81",1131.633
"82",1062.894
"83",998.2588
"84",1006.466
"85",1047.504
"86",805.3784
"87",798.1965
"88",846.4167
"89",1128.556
"90",1354.266
"91",972.6099
"92",955.1685
"93",949.0127
"94",1016.726
"95",1054.686
"96",972.6099
"97",1018.777
"98",1004.414
"99",1115.218
"100",966.4541
"101",949.0127
"102",818.7158
"103",1368.629
"104",974.6616
"105",1069.049
"106",1066.998
"107",1303.994
"108",1100.854
"109",1196.269
"110",1149.074
"111",935.6753
"112",1123.426
"113",1111.114
"114",610.446
"115",1152.152
"116",1103.932
"117",1265.008
"118",796.1448
"119",1178.827
"120",1207.554
"121",944.9089
"122",928.4934
"123",1032.114
"124",1395.304
"125",983.8953
"126",925.4155
"127",805.3784
"128",1081.361
"129",1331.696
"130",1242.437
"131",996.2068
"132",1091.621
"133",1395.304
"134",1172.671
"135",920.2859
"136",809.4822
"137",867.9619
"138",1234.229
"139",1057.764
"140",759.2102
"141",1085.464
"142",653.5364
"143",776.6514
"144",1180.879
"145",976.7136
"146",1193.191
"147",939.7791
"148",1287.579
"149",1070.076
"150",1059.816
