"","value"
"1",98
"2",81
"3",92
"4",157
"5",90
"6",15
"7",50
"8",70
"9",75
"10",128
"11",133
"12",140
"13",82
"14",50
"15",35
"16",42
"17",59
"18",95
"19",136
"20",139
"21",126
"22",122
"23",56
"24",48
"25",34
"26",154
"27",204
"28",127
"29",131
"30",142
"31",28
"32",101
"33",140
"34",45
"35",173
"36",155
"37",158
"38",181
"39",169
"40",90
"41",25
"42",116
"43",58
"44",100
"45",75
"46",69
"47",91
"48",124
"49",165
"50",130
"51",159
"52",115
"53",101
"54",61
"55",145
"56",131
"57",135
"58",43
"59",171
"60",117
"61",38
"62",122
"63",130
"64",141
"65",31
"66",164
"67",153
"68",147
"69",73
"70",73
"71",35
"72",68
"73",25
"74",92
"75",87
"76",73
"77",55
"78",50
"79",105
"80",51
"81",27
"82",98
"83",57
"84",39
"85",104
"86",43
"87",8
"88",30
"89",68
"90",21
"91",96
"92",18
"93",19
"94",30
"95",38
"96",58
"97",99
"98",125
"99",64
"100",111
"101",74
"102",21
"103",91
"104",115
"105",96
"106",75
"107",134
"108",164
"109",169
"110",182
"111",96
"112",131
"113",111
"114",15
"115",54
"116",168
"117",241
"118",214
"119",116
"120",122
"121",128
"122",112
"123",50
"124",27
"125",46
"126",157
"127",154
"128",165
"129",168
"130",121
"131",99
"132",181
"133",110
"134",76
"135",38
"136",77
"137",197
"138",221
"139",268
"140",310
"141",196
"142",123
"143",120
"144",91
"145",85
"146",142
"147",106
"148",148
"149",116
"150",41
"151",132
"152",104
"153",75
"154",54
"155",57
"156",54
"157",8
"158",29
"159",40
"160",146
"161",97
"162",111
"163",131
"164",161
"165",128
"166",119
"167",37
"168",25
"169",34
"170",33
"171",75
"172",54
"173",95
"174",94
"175",133
"176",74
"177",171
"178",114
"179",191
"180",115
"181",180
"182",89
"183",120
"184",93
"185",90
"186",48
"187",157
"188",123
"189",151
"190",176
"191",154
"192",147
"193",176
"194",136
"195",107
"196",48
"197",67
"198",55
"199",130
"200",99
"201",167
"202",101
"203",118
"204",63
"205",80
"206",51
"207",94
"208",85
"209",19
"210",38
"211",92
"212",64
"213",103
"214",42
"215",77
"216",76
"217",68
"218",69
"219",139
"220",92
"221",146
"222",45
"223",93
"224",91
"225",182
"226",113
"227",93
"228",48
"229",93
"230",116
"231",142
"232",115
"233",125
"234",171
"235",181
"236",69
"237",128
"238",134
"239",171
"240",110
"241",147
"242",86
"243",193
"244",117
"245",66
"246",99
"247",138
"248",186
"249",60
"250",117
"251",78
"252",84
"253",78
"254",151
"255",166
"256",91
