"","value"
"1",59.85
"2",57.55
"3",58
"4",58.1
"5",59
"6",61
"7",62.75
"8",64
"9",62.05
"10",63.25
"11",64.8
"12",65.6
"13",65.85
"14",63
"15",64.52
"16",65.45
"17",64.05
"18",61.55
"19",61
"20",60.45
"21",60.4
"22",59
"23",58.9
"24",59.3
"25",57.7
"26",58.75
"27",60.32
"28",62.32
"29",64.32
"30",65.3
"31",67.15
"32",69
"33",69.75
"34",68.5
"35",67.55
"36",68.2
"37",70.2
"38",71.2
"39",69.95
"40",71.7
"41",71.9
"42",68.02
"43",66.6
"44",67
"45",66.95
"46",66.8
"47",67.8
"48",67.5
"49",65.65
"50",63.25
"51",64.57
"52",66.25
"53",66.95
"54",68.85
"55",70.15
"56",71.65
"57",71.35
"58",71.05
"59",70.2
"60",70.6
"61",72.55
"62",71.3
"63",73.27
"64",73.5
"65",72.3
"66",71.4
"67",70.85
"68",72.5
"69",73.5
"70",71.3
"71",71.5
"72",72.25
"73",71.75
"74",69.6
"75",67.4
"76",67.25
"77",67.87
"78",67.7
"79",68.2
"80",69.7
"81",71.65
"82",72.15
"83",72.95
"84",72.35
"85",71.75
"86",71.95
"87",71.9
"88",73.22
"89",75
"90",72.95
"91",72.25
"92",70.8
"93",69.15
"94",68.6
"95",65.35
"96",64.25
"97",61.5
"98",61
"99",62.95
