"","value"
"1",1338
"2",1847
"3",1255
"4",1695
"5",1193
"6",1676
"7",1798
"8",1895
"9",2295
"10",1273
"11",2434
"12",3397
"13",3640
"14",3883
"15",1794
"16",3335
"17",4710
"18",11678
"19",21321
"20",4894
"21",1696
"22",3341
"23",4011
"24",3636
"25",3152
"26",7241
"27",2149
"28",1042
"29",514
"30",613
"31",15
"32",830
"33",538
"34",841
"35",354
"36",139
"37",124
"38",325
"39",250
"40",217
"41",153
"42",172
"43",171
"44",194
"45",218
"46",743
"47",575
"48",1642
"49",6466
"50",2916
"51",13544
"52",9177
"53",1973
"54",1024
"55",718
"56",404
"57",281
"58",602
"59",243
"60",141
"61",266
"62",197
