"","value"
"1",0.19
"2",0.167
"3",0.157
"4",0.132
"5",0.106
"6",0.1
"7",0.098
"8",0.103
"9",0.097
"10",0.095
"11",0.092
"12",0.087
"13",0.077
"14",0.073
"15",0.074
"16",0.081
"17",0.096
"18",0.096
"19",0.087
"20",0.085
"21",0.078
"22",0.078
"23",0.081
"24",0.077
"25",0.078
"26",0.08
"27",0.082
"28",0.08
"29",0.086
"30",0.098
"31",0.097
"32",0.101
"33",0.103
"34",0.105
"35",0.107
"36",0.11
"37",0.112
"38",0.11
"39",0.107
"40",0.107
"41",0.103
"42",0.099
"43",0.095
"44",0.095
"45",0.094
"46",0.088
"47",0.087
"48",0.086
"49",0.088
"50",0.088
"51",0.098
"52",0.09
"53",0.09
"54",0.093
"55",0.088
"56",0.085
"57",0.084
"58",0.087
"59",0.09
"60",0.106
"61",0.11
"62",0.112
"63",0.119
"64",0.119
"65",0.123
"66",0.134
"67",0.153
"68",0.158
"69",0.178
"70",0.197
"71",0.214
"72",0.2
"73",0.186
"74",0.182
"75",0.172
"76",0.176
"77",0.169
"78",0.176
"79",0.176
"80",0.175
"81",0.169
"82",0.16
"83",0.167
"84",0.22
"85",0.3
"86",0.258
"87",0.26
"88",0.246
"89",0.248
"90",0.241
"91",0.238
"92",0.231
"93",0.409
"94",1.74
"95",11
"96",19.9
"97",17.4
"98",12.1
"99",8.25
"100",6.04
"101",4.48
"102",3.68
"103",3.25
"104",2.75
"105",1.99
"106",1.55
"107",1.2
"108",1.06
"109",0.971
"110",0.826
"111",0.727
"112",0.647
"113",0.594
"114",0.574
"115",0.599
"116",0.822
"117",1.18
"118",1.35
"119",1.39
"120",1.26
"121",1.12
"122",1.03
"123",1.28
"124",2.04
"125",2.43
"126",2.19
"127",1.87
"128",2.28
"129",5.93
"130",12.6
"131",11.2
"132",9.15
"133",7.46
"134",6.67
"135",5.54
"136",4.94
"137",4.44
"138",3.9
"139",3.26
"140",2.77
"141",2.37
"142",2.09
"143",1.7
"144",1.4
"145",1.19
"146",0.987
"147",0.891
"148",0.87
"149",0.848
"150",0.829
"151",0.843
"152",0.811
"153",0.729
"154",0.927
"155",0.836
"156",0.726
"157",0.636
"158",0.606
"159",0.559
"160",0.464
"161",0.386
"162",0.348
"163",0.318
"164",0.308
"165",0.294
"166",0.274
"167",0.269
"168",0.283
"169",0.315
"170",0.32
"171",0.316
"172",0.275
"173",0.261
"174",0.273
"175",0.269
"176",0.285
"177",0.369
"178",0.417
"179",0.463
"180",0.436
"181",0.415
"182",0.363
"183",0.326
"184",0.283
"185",0.283
"186",0.233
"187",0.241
"188",0.23
"189",0.25
"190",0.264
"191",0.263
"192",0.249
"193",0.285
"194",0.286
"195",0.28
"196",0.268
"197",0.26
"198",0.265
"199",0.258
"200",0.24
"201",0.221
"202",0.216
"203",0.21
"204",0.2
"205",0.186
"206",0.184
"207",0.182
"208",0.177
"209",0.173
"210",0.17
"211",0.151
"212",0.159
"213",0.172
"214",0.17
"215",0.149
"216",0.147
"217",0.128
"218",0.132
"219",0.142
"220",0.174
"221",0.165
"222",0.146
"223",0.12
"224",0.105
"225",0.102
"226",0.126
"227",0.135
"228",0.14
"229",0.136
"230",0.135
"231",0.135
"232",0.131
"233",0.13
"234",0.146
"235",0.184
"236",0.215
"237",0.222
"238",0.213
"239",0.211
"240",0.213
"241",0.215
"242",0.211
"243",0.194
"244",0.184
"245",0.174
"246",0.168
"247",0.156
"248",0.143
"249",0.142
"250",0.143
"251",0.14
"252",0.141
"253",0.134
"254",0.143
"255",0.181
"256",0.234
"257",0.226
"258",0.221
"259",0.221
"260",0.212
"261",0.209
"262",0.186
"263",0.182
"264",0.183
"265",0.184
"266",0.174
"267",0.17
"268",0.177
"269",0.19
"270",0.207
"271",0.194
"272",0.181
"273",0.18
"274",0.161
"275",0.149
"276",0.145
"277",0.143
"278",0.147
"279",0.143
"280",0.142
"281",0.142
"282",0.144
"283",0.147
"284",0.14
"285",0.143
"286",0.141
"287",0.136
"288",0.139
"289",0.138
"290",0.137
"291",0.144
"292",0.153
"293",0.156
"294",0.164
"295",0.165
"296",0.18
"297",0.175
"298",0.167
"299",0.164
"300",0.165
"301",0.166
"302",0.165
"303",0.165
"304",0.18
"305",0.175
"306",0.177
"307",0.186
"308",0.214
"309",0.223
"310",0.222
"311",0.222
"312",0.223
"313",0.224
"314",0.198
"315",0.19
"316",0.184
"317",0.178
"318",0.178
"319",0.175
"320",0.175
"321",0.173
"322",0.177
"323",0.178
"324",0.176
"325",0.171
"326",0.166
"327",0.163
"328",0.163
"329",0.153
"330",0.151
"331",0.157
"332",0.159
"333",0.161
"334",0.162
"335",0.161
"336",0.151
"337",0.136
"338",0.132
"339",0.128
"340",0.128
"341",0.127
"342",0.126
"343",0.133
"344",0.135
"345",0.125
"346",0.107
"347",0.098
"348",0.094
"349",0.098
"350",0.097
"351",0.093
"352",0.09
"353",0.089
"354",0.09
"355",0.091
"356",0.09
"357",0.09
"358",0.094
"359",0.098
"360",0.101
"361",0.102
"362",0.102
"363",0.103
"364",0.101
"365",0.099
"366",0.1
"367",0.101
"368",0.106
"369",0.106
"370",0.105
"371",0.102
"372",0.101
"373",0.099
"374",0.099
"375",0.098
"376",0.095
"377",0.093
"378",0.096
"379",0.097
"380",0.098
"381",0.101
"382",0.099
"383",0.092
"384",0.093
"385",0.091
"386",0.093
"387",0.092
"388",0.091
"389",0.093
"390",0.097
"391",0.099
"392",0.099
"393",0.096
"394",0.092
"395",0.09
"396",0.089
"397",0.09
"398",0.091
"399",0.092
"400",0.092
"401",0.086
"402",0.082
"403",0.083
"404",0.079
"405",0.08
"406",0.079
"407",0.075
"408",0.076
"409",0.079
"410",0.077
"411",0.078
"412",0.08
"413",0.087
"414",0.083
"415",0.075
"416",0.069
"417",0.065
"418",0.061
"419",0.061
"420",0.057
"421",0.057
"422",0.061
"423",0.059
"424",0.058
"425",0.054
"426",0.061
"427",0.058
"428",0.05
"429",0.044
"430",0.044
"431",0.041
"432",0.041
"433",0.047
"434",0.048
"435",0.05
"436",0.056
"437",0.061
"438",0.065
"439",0.07
"440",0.072
"441",0.073
"442",0.072
"443",0.068
"444",0.065
"445",0.064
"446",0.06
"447",0.063
"448",0.066
"449",0.066
"450",0.071
"451",0.088
"452",0.098
"453",0.099
"454",0.103
"455",0.105
"456",0.114
"457",0.132
"458",0.171
"459",0.233
"460",0.317
"461",0.468
"462",0.543
"463",0.723
"464",1.01
"465",1.01
"466",0.797
"467",0.664
"468",0.586
"469",0.628
"470",0.738
"471",0.945
"472",1.05
"473",1.06
"474",1.03
"475",0.989
"476",0.893
"477",0.871
"478",1.06
"479",1.59
"480",1.48
"481",1.14
"482",0.801
"483",0.608
"484",0.523
"485",0.44
"486",0.383
"487",0.347
"488",0.302
"489",0.268
"490",0.241
"491",0.22
"492",0.228
"493",0.205
"494",0.203
"495",0.2
"496",0.187
"497",0.185
"498",0.17
"499",0.151
"500",0.141
"501",0.133
"502",0.128
"503",0.138
"504",0.16
"505",0.159
"506",0.173
"507",0.17
"508",0.167
"509",0.153
"510",0.146
"511",0.218
"512",0.559
"513",0.627
"514",0.471
"515",0.364
"516",0.292
"517",0.245
"518",0.212
"519",0.168
"520",0.144
"521",0.136
"522",0.123
"523",0.123
"524",0.116
"525",0.114
"526",0.138
"527",0.142
"528",0.138
"529",0.469
"530",2.65
"531",7.77
"532",7.3
"533",4.57
"534",2.29
"535",1.44
"536",1.06
"537",0.89
"538",0.67
"539",0.507
"540",0.406
"541",0.36
"542",0.355
"543",0.354
"544",0.35
"545",0.343
"546",0.346
"547",0.336
"548",0.323
"549",0.333
"550",0.329
"551",0.326
"552",0.323
"553",0.28
"554",0.287
"555",0.28
"556",0.333
"557",0.349
"558",0.339
"559",0.336
"560",0.443
"561",0.48
"562",0.459
"563",0.382
"564",0.382
"565",0.339
"566",0.296
"567",0.313
"568",0.322
"569",0.302
"570",0.257
"571",0.228
"572",0.21
"573",0.186
"574",0.162
"575",0.157
"576",0.165
"577",0.178
"578",0.172
"579",0.171
"580",0.178
"581",0.179
"582",0.178
"583",0.161
"584",0.173
"585",0.194
"586",0.202
"587",0.202
"588",0.202
"589",0.193
"590",0.17
"591",0.147
"592",0.122
"593",0.111
"594",0.102
"595",0.101
"596",0.107
"597",0.113
"598",0.136
"599",0.145
"600",0.17
"601",0.175
"602",0.175
"603",0.154
"604",0.127
"605",0.106
"606",0.106
"607",0.131
"608",0.137
"609",0.127
"610",0.121
"611",0.119
"612",0.12
"613",0.123
"614",0.116
"615",0.137
"616",0.177
"617",0.193
"618",0.245
"619",0.25
"620",0.217
"621",0.193
"622",0.162
"623",0.141
"624",0.127
"625",0.116
"626",0.112
"627",0.098
"628",0.101
"629",0.115
"630",0.121
"631",0.111
"632",0.115
"633",0.119
"634",0.115
"635",0.112
"636",0.112
"637",0.109
"638",0.106
"639",0.105
"640",0.1
"641",0.106
"642",0.112
"643",0.116
"644",0.118
"645",0.122
"646",0.128
"647",0.145
"648",0.144
"649",0.148
"650",0.143
"651",0.134
"652",0.131
"653",0.133
"654",0.136
"655",0.142
"656",0.162
"657",0.178
"658",0.18
"659",0.174
"660",0.176
"661",0.163
"662",0.149
"663",0.147
"664",0.149
"665",0.147
"666",0.169
"667",0.173
"668",0.172
"669",0.172
"670",0.173
"671",0.175
"672",0.181
"673",0.215
"674",0.244
"675",0.247
"676",0.232
"677",0.224
"678",0.238
"679",0.234
"680",0.228
"681",0.213
"682",0.203
