"","value"
"1",129
"2",101
"3",97
"4",88
"5",112
"6",113
"7",66
"8",96
"9",94
"10",115
"11",71
"12",100
"13",97
"14",118
"15",86
"16",115
"17",121
"18",123
"19",101
"20",85
"21",106
"22",88
"23",88
"24",113
"25",101
"26",81
"27",112
"28",88
"29",92
"30",110
"31",99
"32",124
"33",128
"34",91
"35",87
"36",79
"37",77
"38",93
"39",64
"40",85
"41",98
"42",86
"43",79
"44",92
"45",102
"46",121
"47",112
"48",132
"49",119
"50",117
"51",132
"52",115
"53",107
"54",117
"55",67
"56",81
"57",92
"58",85
"59",82
"60",97
"61",87
"62",95
"63",101
"64",97
"65",99
"66",96
"67",86
"68",117
"69",100
"70",86
"71",98
"72",112
"73",105
"74",92
"75",107
"76",103
"77",76
"78",85
"79",91
"80",91
"81",89
"82",85
"83",90
"84",98
"85",95
"86",112
"87",124
"88",106
"89",135
"90",97
"91",109
"92",116
"93",114
"94",94
"95",110
"96",80
"97",99
"98",70
"99",65
"100",80
"101",53
"102",86
"103",113
"104",106
"105",90
"106",136
"107",107
"108",99
"109",118
"110",127
"111",114
"112",93
"113",99
"114",103
"115",95
"116",60
"117",62
"118",97
"119",90
"120",82
"121",113
"122",98
"123",119
"124",109
"125",68
"126",71
"127",112
"128",98
"129",114
"130",108
"131",101
"132",98
"133",121
"134",117
"135",124
"136",99
"137",133
"138",122
"139",111
"140",106
"141",82
"142",102
"143",114
"144",115
"145",108
"146",95
"147",77
"148",118
"149",85
"150",96
"151",74
"152",76
"153",78
"154",71
"155",76
"156",59
"157",68
"158",58
"159",79
"160",103
"161",126
"162",133
"163",109
"164",114
"165",103
"166",125
"167",106
"168",139
"169",115
"170",126
"171",109
"172",133
"173",146
"174",153
"175",129
"176",152
"177",94
"178",128
"179",81
"180",104
"181",130
"182",138
"183",113
"184",88
"185",144
"186",102
"187",73
"188",100
"189",128
"190",108
"191",89
"192",103
"193",74
"194",56
"195",68
"196",74
"197",112
"198",54
"199",74
"200",66
"201",76
"202",53
"203",100
"204",111
"205",118
"206",118
"207",75
"208",90
"209",99
"210",109
"211",94
"212",93
"213",82
"214",67
"215",90
"216",96
"217",90
"218",95
"219",81
"220",97
"221",102
"222",96
"223",100
"224",43
"225",100
"226",80
"227",94
"228",96
"229",81
"230",74
"231",100
"232",73
"233",81
"234",73
"235",72
"236",74
"237",34
"238",84
"239",59
"240",73
"241",83
"242",77
"243",115
"244",66
"245",125
"246",116
"247",93
"248",47
"249",93
"250",105
"251",81
"252",55
"253",62
"254",110
"255",132
"256",132
"257",129
"258",150
"259",142
"260",102
"261",112
"262",104
"263",114
"264",76
"265",90
"266",106
"267",111
"268",115
"269",131
"270",136
"271",144
"272",125
"273",103
"274",101
"275",114
"276",174
"277",145
"278",152
"279",123
"280",126
"281",93
"282",77
"283",119
"284",119
"285",147
"286",100
"287",119
"288",114
"289",101
"290",54
"291",106
"292",112
"293",132
"294",135
"295",105
"296",134
"297",102
"298",106
"299",32
"300",67
"301",84
"302",106
"303",73
"304",78
"305",101
"306",115
"307",113
"308",135
"309",106
"310",111
"311",129
"312",70
"313",68
"314",66
"315",118
"316",139
"317",71
"318",116
"319",65
"320",94
"321",86
"322",91
"323",91
"324",108
"325",122
"326",90
"327",127
"328",136
"329",126
"330",136
"331",105
"332",144
"333",129
"334",106
"335",111
"336",149
"337",103
"338",118
"339",101
"340",173
"341",150
"342",133
"343",138
"344",188
"345",64
"346",93
"347",124
"348",84
"349",78
"350",71
"351",16
"352",83
"353",85
"354",90
"355",102
"356",79
"357",68
"358",82
"359",80
"360",137
"361",142
"362",122
"363",85
"364",99
"365",79
"366",95
"367",123
"368",110
"369",110
"370",98
"371",82
"372",71
"373",118
