"","value"
"1",609
"2",1516
"3",4952
"4",7466
"5",11155
"6",7002
"7",1315
"8",189
"9",74
"10",119
"11",287
"12",324
"13",288
"14",241
"15",347
"16",378
"17",498
"18",324
"19",151
"20",69
"21",44
"22",42
"23",34
"24",121
"25",316
"26",781
"27",1870
"28",5309
"29",7499
"30",5386
"31",1386
"32",211
"33",107
"34",128
"35",219
"36",423
"37",750
"38",2010
"39",4858
"40",6172
"41",7095
"42",4238
"43",907
"44",165
"45",43
"46",54
"47",93
"48",134
"49",146
"50",270
"51",621
"52",1096
"53",2271
"54",2537
"55",1081
"56",288
"57",118
"58",149
"59",594
"60",1183
"61",1960
"62",4699
"63",9635
"64",9573
"65",6605
"66",2697
"67",601
"68",139
"69",50
"70",55
"71",71
"72",131
"73",133
"74",168
"75",431
"76",652
"77",1414
"78",1317
"79",422
"80",95
"81",47
"82",45
"83",86
"84",205
"85",508
"86",1576
"87",4357
"88",6630
"89",6813
"90",5182
"91",1975
"92",358
"93",67
"94",136
"95",333
"96",555
"97",1426
"98",4054
"99",7376
"100",8792
"101",8247
"102",4738
"103",1143
"104",213
"105",87
"106",99
"107",154
"108",219
"109",235
"110",365
"111",1075
"112",2253
"113",3546
"114",3058
"115",880
"116",247
"117",84
"118",90
"119",136
"120",122
"121",519
"122",1585
"123",5713
"124",10018
"125",8634
"126",6253
"127",1231
"128",239
"129",75
"130",56
"131",110
"132",171
"133",224
"134",219
"135",361
"136",517
"137",969
"138",738
"139",274
"140",110
"141",36
"142",54
"143",60
"144",91
"145",90
"146",207
"147",268
"148",533
"149",1365
"150",1906
"151",1269
"152",307
"153",151
"154",354
"155",1050
"156",2996
"157",6336
"158",13226
"159",25826
"160",22741
"161",8195
"162",2527
"163",436
"164",100
"165",63
"166",67
"167",55
"168",74
"169",137
"170",169
"171",233
"172",404
"173",557
"174",387
"175",127
"176",60
"177",34
"178",45
"179",49
"180",59
"181",232
"182",877
"183",2174
"184",3855
"185",5724
"186",5760
"187",1759
"188",453
"189",142
"190",300
"191",676
"192",1675
"193",2567
"194",5242
"195",8498
"196",5458
"197",2779
"198",1151
"199",182
"200",63
"201",21
"202",26
"203",30
"204",31
"205",60
"206",82
"207",171
"208",207
"209",221
