"","value"
"1",6.3996
"2",5.5784
"3",7.3057
"4",10.4772
"5",30.5539
"6",9.5428
"7",7.6739
"8",7.0509
"9",8.6083
"10",25.3436
"11",10.1091
"12",12.0913
"13",10.1941
"14",9.9392
"15",11.5816
"16",43.2681
"17",19.1422
"18",32.8192
"19",20.3315
"20",26.4479
"21",25.7683
"22",9.5711
"23",6.6828
"24",5.8616
"25",5.6634
"26",5.6351
"27",7.7305
"28",20.643
"29",16.0557
"30",24.041
"31",17.245
"32",15.4044
"33",17.0184
"34",20.5297
"35",6.6545
"36",5.182
"37",6.5695
"38",6.3147
"39",5.4085
"40",7.2491
"41",30.6388
"42",18.1511
"43",9.5994
"44",18.1228
"45",7.8438
"46",7.504
"47",9.5711
"48",12.2046
"49",8.1269
"50",8.5234
"51",18.2077
"52",14.2151
"53",9.8826
"54",29.3079
"55",21.3792
"56",23.1349
"57",9.7693
"58",12.8275
"59",8.3818
"60",5.0121
"61",7.2491
"62",19.5103
"63",13.8186
"64",6.7394
"65",18.944
"66",27.3258
"67",40.9745
"68",16.8202
"69",11.8364
"70",18.1794
"71",22.6818
"72",11.525
"73",6.4562
"74",16.0273
"75",15.6592
"76",18.2644
"77",27.1559
"78",46.5246
"79",28.7133
"80",20.9828
"81",18.5759
"82",9.1463
"83",14.1018
"84",7.7305
"85",6.1731
"86",27.7505
"87",21.6907
"88",13.3656
"89",17.4998
"90",23.9844
"91",52.103
"92",29.5911
"93",12.7709
"94",9.0048
"95",8.3818
"96",10.1374
"97",5.6067
"98",6.0881
"99",8.6366
"100",18.0095
"101",14.2434
"102",18.0378
"103",10.8737
"104",12.9691
"105",7.8155
"106",5.5501
"107",5.9465
"108",4.9271
"109",4.5873
"110",4.9838
"111",26.3913
"112",25.1737
"113",15.2345
"114",32.1396
"115",16.1406
"116",12.6576
"117",46.0432
"118",11.8364
"119",6.7394
"120",5.7766
"121",5.6917
"122",6.1448
"123",8.8632
"124",6.258
"125",13.3939
"126",14.5265
"127",11.5816
"128",8.042
"129",5.8616
"130",5.0404
"131",5.182
"132",7.9287
"133",7.6739
"134",20.0483
"135",10.2507
"136",8.9764
"137",20.9828
"138",18.5759
"139",21.2943
"140",9.9958
"141",6.6261
"142",7.7588
"143",14.3
"144",24.4374
"145",35.8208
"146",19.3404
"147",14.4133
"148",33.9802
"149",19.6519
"150",31.2335
"151",25.6834
"152",22.4836
"153",24.8056
"154",11.8364
