"","value"
"1",85.5
"2",81.7
"3",80.6
"4",84.7
"5",88.2
"6",84.9
"7",81.8
"8",84.9
"9",85.2
"10",81.9
"11",89.4
"12",79
"13",81.4
"14",84.8
"15",85.9
"16",88
"17",80.3
"18",82.6
"19",83.5
"20",80.2
"21",85.2
"22",87.2
"23",83.5
"24",84.3
"25",82.9
"26",84.7
"27",82.9
"28",81.5
"29",83.4
"30",87.7
"31",81.8
"32",79.6
"33",85.8
"34",77.9
"35",89.7
"36",85.4
"37",86.3
"38",80.7
"39",83.8
"40",90.5
"41",84.5
"42",82.4
"43",86.7
"44",83
"45",81.8
"46",89.3
"47",79.3
"48",82.7
"49",88
"50",79.6
"51",87.8
"52",83.6
"53",79.5
"54",83.3
"55",88.4
"56",86.6
"57",84.6
"58",79.7
"59",86
"60",84.2
"61",83
"62",84.8
"63",83.6
"64",81.8
"65",85.9
"66",88.2
"67",83.5
"68",87.2
"69",83.7
"70",87.3
"71",83
"72",90.5
"73",80.7
"74",83.1
"75",86.5
"76",90
"77",77.5
"78",84.7
"79",84.6
"80",87.2
"81",80.5
"82",86.1
"83",82.6
"84",85.4
"85",84.7
"86",82.8
"87",81.9
"88",83.6
"89",86.8
"90",84
"91",84.2
"92",82.8
"93",83
"94",82
"95",84.7
"96",84.4
"97",88.9
"98",82.4
"99",83
"100",85
"101",82.2
"102",81.6
"103",86.2
"104",85.4
"105",82.1
"106",81.4
"107",85
"108",85.8
"109",84.2
"110",83.5
"111",86.5
"112",85
"113",80.4
"114",85.7
"115",86.7
"116",86.7
"117",82.3
"118",86.4
"119",82.5
"120",82
"121",79.5
"122",86.7
"123",80.5
"124",91.7
"125",81.6
"126",83.9
"127",85.6
"128",84.8
"129",78.4
"130",89.9
"131",85
"132",86.2
"133",83
"134",85.4
"135",84.4
"136",84.5
"137",86.2
"138",85.6
"139",83.2
"140",85.7
"141",83.5
"142",80.1
"143",82.2
"144",88.6
"145",82
"146",85
"147",85.2
"148",85.3
"149",84.3
"150",82.3
"151",89.7
"152",84.8
"153",83.1
"154",80.6
"155",87.4
"156",86.8
"157",83.5
"158",86.2
"159",84.1
"160",82.3
"161",84.8
"162",86.6
"163",83.5
"164",78.1
"165",88.8
"166",81.9
"167",83.3
"168",80
"169",87.2
"170",83.3
"171",86.6
"172",79.5
"173",84.1
"174",82.2
"175",90.8
"176",86.5
"177",79.7
"178",81
"179",87.2
"180",81.6
"181",84.4
"182",84.4
"183",82.2
"184",88.9
"185",80.9
"186",85.1
"187",87.1
"188",84
"189",76.5
"190",82.7
"191",85.1
"192",83.3
"193",90.4
"194",81
"195",80.3
"196",79.8
"197",89
"198",83.7
"199",80.9
"200",87.3
"201",81.1
"202",85.6
"203",86.6
"204",80
"205",86.6
"206",83.3
"207",83.1
"208",82.3
"209",86.7
"210",80.2
