"","value"
"1",1
"2",1.33
"3",1.7
"4",2.41
"5",1.27
"6",2.85
"7",1.57
"8",2.22
"9",1.06
"10",2.34
"11",1.32
"12",3.37
"13",1.26
"14",2.23
"15",0.91
"16",1.59
"17",1.35
"18",1.6
"19",1.41
"20",1.99
"21",0.94
"22",1.37
"23",0.95
"24",1.77
"25",0.7
"26",0.85
"27",1.08
"28",1.46
"29",1.03
"30",2.13
"31",1.11
"32",2.74
"33",0.93
"34",2.29
"35",0.95
"36",2.24
"37",0.88
"38",1.62
"39",1.6
"40",2.15
"41",0.87
"42",1.5
"43",1.93
"44",2.07
"45",1.23
"46",2.24
"47",1.12
"48",1.89
"49",0.84
"50",2.06
"51",1.4
"52",1.77
"53",0.25
"54",2.4
"55",2.18
"56",2.26
"57",1.08
"58",2.29
"59",0.74
"60",2.11
"61",0.47
"62",1.5
"63",0.42
"64",1.9
"65",0.91
"66",1.63
"67",1.21
"68",2.2
"69",0.49
"70",1.82
"71",0.96
"72",1.06
"73",0.58
"74",1.17
