"","value"
"1",0.46
"2",0.53
"3",1.24
"4",1.48
"5",3.69
"6",4.57
"7",2.58
"8",0.69
"9",0.5
"10",1.4
"11",0.54
"12",0.43
"13",0.43
"14",0.4
"15",0.66
"16",1.1
"17",4.34
"18",7.08
"19",3.34
"20",1.27
"21",0.65
"22",0.77
"23",0.66
"24",0.37
"25",0.43
"26",0.38
"27",0.64
"28",2.19
"29",3.68
"30",3.39
"31",1.86
"32",0.61
"33",0.73
"34",0.8
"35",0.66
"36",0.4
"37",0.45
"38",0.49
"39",1.08
"40",1.89
"41",5.49
"42",7.26
"43",3.24
"44",1.29
"45",0.75
"46",1.17
"47",0.65
"48",0.41
"49",0.37
"50",0.48
"51",0.64
"52",1.77
"53",2.83
"54",4.01
"55",1.97
"56",0.57
"57",0.52
"58",0.63
"59",0.5
"60",0.42
"61",0.48
"62",0.52
"63",1.71
"64",2.17
"65",4.35
"66",5.22
"67",2.54
"68",1.97
"69",0.81
"70",1.71
"71",0.61
"72",0.45
"73",0.32
"74",0.43
"75",0.62
"76",1.88
"77",4.53
"78",8.98
"79",5.23
"80",1.39
"81",0.8
"82",0.57
"83",0.55
"84",0.49
"85",0.43
"86",0.46
"87",0.81
"88",1.08
"89",3.08
"90",5.83
"91",2.11
"92",0.67
"93",0.7
"94",0.66
"95",0.61
"96",0.5
"97",0.35
"98",0.38
"99",0.8
"100",1.67
"101",3.61
"102",2.46
"103",1.17
"104",0.66
"105",0.47
"106",0.44
"107",0.5
"108",0.48
"109",0.5
"110",0.74
"111",0.84
"112",1.19
"113",7
"114",7.95
"115",2.96
"116",1.14
"117",0.5
"118",0.63
"119",0.73
"120",0.5
"121",0.5
"122",0.56
"123",1.16
"124",1.1
"125",4.86
"126",9.81
"127",2.72
"128",2.01
"129",0.92
"130",0.52
"131",0.51
"132",0.55
"133",0.42
"134",0.54
"135",1.11
"136",1.43
"137",5.49
"138",6.32
"139",1.77
"140",0.87
"141",0.52
"142",0.36
"143",0.49
"144",0.49
"145",0.46
"146",0.42
"147",0.55
"148",1.57
"149",4.45
"150",5.62
"151",2.87
"152",1.66
"153",1.08
"154",0.89
"155",0.8
"156",0.52
"157",0.38
"158",0.62
"159",0.62
"160",2.01
"161",3.77
"162",3.85
"163",1.23
"164",0.37
"165",0.3
"166",0.44
"167",0.48
"168",0.33
"169",0.32
"170",0.49
"171",0.74
"172",1.59
"173",2.62
"174",2.94
"175",1.77
"176",0.9
"177",1.31
"178",1.23
