"","value"
"1",389.5745
"2",465.3101
"3",507.2644
"4",442.426
"5",584.0894
"6",677.2607
"7",486.5596
"8",407.5549
"9",512.168
"10",593.3521
"11",618.4158
"12",564.4749
"13",519.2512
"14",521.4307
"15",473.4832
"16",482.7456
"17",613.5122
"18",806.3921
"19",528.5139
"20",486.5596
"21",409.7344
"22",459.3167
"23",658.1907
"24",417.3625
"25",423.356
"26",614.6018
"27",420.6316
"28",489.2839
"29",570.468
"30",556.3018
"31",344.3513
"32",451.6887
"33",723.0288
"34",650.5627
"35",602.6147
"36",406.4653
"37",344.3513
"38",476.2073
"39",500.1812
"40",685.4336
"41",574.282
"42",687.0679
"43",545.4048
"44",678.3503
"45",504.54
"46",626.5884
"47",394.4783
"48",434.7979
"49",484.3801
"50",549.2188
"51",540.5007
"52",379.7671
"53",519.2512
"54",485.47
"55",517.6167
"56",764.9832
"57",618.4158
"58",532.3279
"59",579.1858
"60",600.4355
"61",485.47
"62",541.5906
"63",489.2839
"64",415.728
"65",553.5774
"66",577.5515
"67",559.571
"68",651.1072
"69",701.2344
"70",584.0894
"71",461.4961
"72",645.114
"73",657.1011
"74",590.0833
"75",595.532
"76",528.5139
"77",538.3213
"78",516.5271
"79",441.3364
"80",563.3853
"81",514.3477
"82",472.3933
"83",578.6411
"84",533.4175
"85",523.6101
"86",549.2188
"87",478.3867
"88",583.5449
"89",540.5007
"90",544.3149
"91",621.1404
"92",671.2673
"93",546.4944
"94",594.4417
"95",632.5823
"96",518.7065
"97",590.6277
"98",481.656
"99",560.1157
"100",472.3933
"101",415.728
"102",589.5381
"103",629.3127
"104",437.5222
"105",767.1626
"106",571.5576
"107",549.2188
"108",505.6296
"109",450.5989
"110",394.4783
"111",518.7065
"112",475.6626
"113",758.9895
"114",516.5271
"115",722.4841
"116",627.1335
"117",626.5884
"118",445.6953
"119",492.5532
"120",841.2634
"121",672.3569
"122",709.4075
"123",574.282
"124",563.3853
"125",609.1531
"126",549.2188
"127",398.8374
"128",461.4961
"129",506.7195
"130",638.5754
"131",437.5222
"132",458.7717
