"","value"
"1",3562279127
"2",3710215571
"3",3877469703
"4",3876354871
"5",4582542581
"6",5016336869
"7",5202513642
"8",5410604985
"9",5408071320
"10",5598048880
"11",5268183974
"12",5205965910
"13",5554284558
"14",6071804752
"15",6533409311
"16",6432612096
"17",6422634291
"18",6413343245
"19",6438472853
"20",6593321117
"21",6386798311
"22",6402829429
"23",6448640206
"24",6758012799
"25",6897537181
"26",6625683956
"27",6786593033
"28",6741090851
"29",6857892154
"30",6885633911
"31",7036186201
"32",7182820092
"33",6897783063
"34",6802926206
"35",6856304069
"36",6963587768
"37",7283565230
"38",7294355973
"39",7277773691
"40",7327652118
"41",7411935065
"42",7559621824
"43",7464144357
"44",7556335967
"45",7531158925
"46",7451588318
"47",7251552599
"48",7387311025
"49",7534902212
"50",7669462738
"51",7806347806
"52",7633844064
"53",7666925195
"54",7520164584
"55",7501747391
"56",7767857531
"57",7232609101
"58",7274338276
"59",7408981176
"60",7230742271
"61",7354167649
"62",7107897687
"63",7295721127
"64",7080999121
"65",7606453644
"66",7642015997
"67",7848884725
"68",7724196995
"69",7650962743
"70",7753904748
"71",7744009419
"72",7336903262
"73",7485654677
"74",7513611244
"75",7644185813
"76",7414962086
"77",7514644125
"78",7445178236
"79",7294385873
"80",7233354647
"81",7332941859
"82",7513492139
"83",7528727688
"84",8536272286
"85",7724842582
"86",7599001549
"87",7348468015
"88",7326327200
"89",7639506670
"90",7802449354
"91",7485672218
"92",7354957743
"93",7497015314
"94",7235630142
"95",7434386233
"96",7519403839
"97",7403087775
"98",7366791574
"99",7577678754
"100",7326687210
"101",7259778835
"102",7499146875
"103",7530745790
"104",7054149566
"105",7134469847
"106",7081949563
"107",6953665837
"108",7023590624
"109",6759900139
"110",6530131152
"111",6447105457
"112",6330514608
"113",6331684427
"114",6223271197
"115",6202872405
"116",5914776765
"117",5917454777
"118",5921237644
"119",5640499083
"120",5391187185
"121",5349731374
"122",5306831763
"123",4924258813
"124",4870140499
"125",5051888264
"126",4936297774
"127",4670716971
"128",4336637893
"129",4315527574
"130",4234212594
"131",4403446516
"132",4295636203
"133",4158312131
"134",3994767281
"135",3981376101
"136",4103194285
"137",4191264851
"138",4107663994
"139",3950115059
"140",3884135336
"141",4106267810
"142",3873014865
"143",3987571377
"144",3772918776
"145",3967867664
"146",3768411435
"147",3524927741
"148",3533644824
"149",3611084551
"150",3718716907
"151",3622619626
"152",3649115438
"153",3824052475
"154",3802783518
"155",3724816224
"156",3658838363
"157",3634119585
"158",3625261928
"159",3670661268
"160",3569002593
"161",3704103060
"162",3600959582
"163",3540508801
"164",3530136362
"165",3586244712
"166",3580008115
"167",3518283866
"168",3490909198
"169",3273634716
"170",3220012819
"171",3268927551
"172",3165384774
"173",3201339313
"174",3168450654
"175",3036703512
"176",2999785689
"177",2931969530
"178",3063506195
"179",2874825851
"180",2756967891
"181",2746056942
"182",2710922432
"183",2687775945
"184",2750878241
"185",2654607198
"186",2649790823
"187",2561522102
"188",2622232533
"189",2569332246
"190",2900771417
"191",2362620888
"192",2338511945
"193",2346308954
"194",2485275798
"195",2383711038
"196",2352537359
"197",2438498778
"198",2387348189
"199",2136407019
"200",2105109648
"201",2108515945
"202",2361817024
"203",2145379850
"204",2216433223
"205",2205983887
"206",2125875017
"207",2386775906
"208",2242831948
"209",2154930604
"210",2106550611
"211",2048932841
"212",2072852739
"213",2146743453
"214",1898012332
"215",1805834137
"216",1846509090
"217",1819926546
"218",1734400487
"219",1785433036
"220",1733610241
"221",1694384060
"222",1701288588
"223",1722159905
"224",1706410228
"225",2015585016
"226",1795574327
"227",1780259206
"228",1671931744
"229",1679005182
"230",1668891063
"231",1728025343
"232",1723179180
"233",1637898222
"234",1595363849
"235",1617476695
"236",1629195853
"237",1845312155
"238",1649332044
"239",1547267504
"240",1499411740
"241",1459317981
"242",1447949146
"243",1599031982
"244",1555389960
"245",1726665812
"246",1560596693
"247",1487551813
"248",1506835860
"249",1814598605
"250",1675097503
"251",1649725627
"252",1605411867
"253",1631462039
"254",1794111915
"255",2064644330
"256",1805560623
"257",1639043272
"258",1675169871
"259",1786003377
"260",2313753829
"261",2733271598
"262",1999096513
"263",1911255872
"264",1850724767
"265",1844343109
"266",1891900880
"267",2071743151
"268",1917291872
"269",1920241635
"270",2028928664
"271",2192637441
"272",2553091807
"273",2554968485
"274",2391627246
"275",2455430601
"276",2468010209
"277",2650808208
"278",2781247406
"279",2848338243
"280",2931929285
