"","value"
"1",1.66
"2",1.53
"3",3.23
"4",2.26
"5",2.27
"6",3.06
"7",2.68
"8",2.31
"9",1.78
"10",2.51
"11",2.23
"12",3.86
"13",3.18
"14",2.71
"15",1.81
"16",1.68
"17",2.82
"18",1.94
"19",2.73
"20",2.16
"21",2.17
"22",1.59
"23",2.58
"24",1.93
"25",1.82
"26",1.27
"27",2.13
"28",1.21
"29",2.3
"30",1.92
"31",2.33
"32",2.52
"33",2.43
"34",1.91
"35",2.63
"36",1.91
"37",2.27
"38",1.82
"39",3.17
"40",2.59
"41",2.11
"42",1.2
"43",3.39
"44",2.07
"45",2.48
"46",2
"47",2.01
"48",1.87
"49",2
"50",2.11
"51",2.59
"52",1.86
"53",1.52
"54",3.05
"55",3.18
"56",2.55
"57",2.64
"58",2.2
"59",1.93
"60",2.27
"61",0.52
"62",1.44
"63",1.49
"64",2.6
"65",1.61
"66",1.97
"67",1.9
"68",2.06
"69",2.02
"70",1.35
"71",1.62
"72",1.05
"73",0.99
"74",1.63
