"","value"
"1",1404.617
"2",1423.298
"3",909.3617
"4",1296.319
"5",1415.646
"6",1220.875
"7",1715.083
"8",1765.25
"9",1464.327
"10",1705.449
"11",1697.42
"12",1561.06
"13",1651.2
"14",1636.765
"15",1396.353
"16",1196
"17",1354.269
"18",1650.827
"19",1684.442
"20",1232.359
"21",1604.698
"22",1472.17
"23",1658.407
"24",1869.056
"25",1661.782
"26",1812.164
"27",1427.054
"28",1164.5
"29",1538.911
"30",1475.088
"31",1876.316
"32",1508.018
"33",1542.086
"34",1397.448
"35",1325.492
"36",1216.763
"37",1205.15
"38",734.8333
"39",879.9836
"40",582.4099
"41",1963.468
"42",1223.903
"43",708.0159
"44",494.3333
"45",613.7778
"46",693.25
"47",731.123
"48",774.5538
"49",367.5757
"50",359.7879
"51",187
"52",299.6176
"53",604.5588
"54",592.2754
"55",806.4
"56",617.0286
"57",505.0845
"58",614.1389
"59",506.0548
"60",605.1781
"61",728.7838
"62",558.0667
"63",446.6842
"64",516.6184
"65",821.3506
"66",936.2949
"67",1110.949
"68",700.3671
"69",461.4557
"70",761.225
"71",982.8519
"72",1078.732
"73",1350.807
"74",1453.024
"75",956.6786
"76",1250.679
"77",458.3177
"78",573.2235
"79",656.4535
"80",760.1395
"81",781.6628
"82",1354.07
"83",1819.356
"84",1302.782
"85",1409.126
"86",1527.75
"87",681.4719
"88",1364.281
"89",1608.472
"90",1708.122
"91",1879.044
"92",1616.733
"93",1594.367
"94",1790.901
"95",1826.473
"96",2136.132
"97",2120.572
"98",2100.924
"99",1467.587
"100",2072.565
"101",2016.772
"102",1901.968
"103",1930.054
"104",1766.086
"105",1797.681
"106",2007.011
"107",1930.277
"108",1907.547
"109",1814.705
"110",1529.094
"111",1019.958
"112",1653.823
"113",1837.354
"114",2112.052
"115",1717.856
"116",1413.907
"117",1513.255
"118",1658.5
"119",1486.48
"120",1635.303
"121",1543.768
"122",1652.182
"123",1181.41
"124",1281.18
"125",1492.76
"126",1496.208
"127",1600.059
"128",1274.743
"129",1479.51
"130",1920.941
"131",1690.971
"132",1658.281
"133",1237.202
"134",1345.558
"135",843.0857
"136",1480.305
"137",1792.743
"138",1877.267
"139",1624.038
"140",1372.009
"141",1866.132
"142",1875.009
"143",2016.355
"144",1746.234
"145",1914.778
"146",1864.472
"147",945.1835
"148",1556.284
"149",1686.56
"150",1861.673
"151",2133.809
"152",1726.809
"153",2140.446
"154",1887.378
"155",2010.464
"156",1890.116
"157",1911.991
"158",1681.939
"159",904.5652
"160",1683.078
"161",1364.33
"162",1466.33
"163",1596.06
"164",1111.345
"165",1288.769
"166",1300.333
"167",1791.042
"168",1592.195
"169",2022.746
"170",1760.076
"171",941.1345
"172",1591.79
"173",1316.75
"174",1364.132
"175",1039.306
"176",597.6611
"177",494.536
"178",1085.672
"179",764.472
"180",1014.968
"181",1128.262
"182",1132.857
"183",741.254
"184",996.873
"185",1114.032
"186",1113.151
"187",979.3858
"188",781.246
