"","value"
"1",3.733
"2",3.567
"3",3.533
"4",3.4
"5",3.4
"6",3.433
"7",3.576
"8",3.567
"9",4.167
"10",4.733
"11",5.167
"12",5.867
"13",5.9
"14",5.9
"15",6.033
"16",5.967
"17",5.767
"18",5.633
"19",5.6
"20",5.333
"21",4.933
"22",4.867
"23",4.833
"24",4.8
"25",5.033
"26",5.133
"27",5.633
"28",6.667
"29",8.133
"30",8.767
"31",8.6
"32",8.433
"33",7.633
"34",7.467
"35",7.833
"36",7.9
"37",7.467
"38",7.1
"39",6.9
"40",6.633
"41",6.2
"42",6
"43",5.967
"44",5.833
"45",5.733
"46",5.767
"47",5.8
"48",5.867
"49",6.133
"50",7.5
"51",7.633
"52",7.5
"53",7.333
"54",7.4
"55",7.333
"56",8.367
"57",8.767
"58",9.367
"59",9.5
"60",10.53
