"","value"
"1",1500
"2",1710
"3",1790
"4",1590
"5",1410
"6",2000
"7",1820
"8",1720
"9",1670
"10",1580
"11",2120
"12",1610
"13",1560
"14",1380
"15",1780
"16",1300
"17",1710
"18",1790
"19",1380
"20",1260
"21",1230
"22",1710
"23",1770
"24",1576
"25",1602
"26",1511
"27",1441
"28",1742
"29",1381
"30",1246
"31",1098
"32",1317
"33",1925
"34",1249
"35",1402
"36",1671
"37",1690
"38",1887
"39",1819
"40",1959
"41",2213
"42",1786
"43",1904
"44",2013
"45",1672
"46",2397
"47",1799
"48",1806
"49",1664
"50",1643
"51",1869
"52",1742
"53",1607
"54",1625
"55",1988
