"","value"
"1",44
"2",44
"3",57
"4",47
"5",50
"6",43
"7",54
"8",39
"9",34
"10",49
"11",54
"12",50
"13",43
"14",44
"15",56
"16",54
"17",57
"18",61
"19",52
"20",43
"21",63
"22",61
"23",72
"24",72
"25",43
"26",76
"27",71
"28",61
"29",63
"30",72
"31",55
"32",46
"33",63
"34",55
"35",66
"36",66
"37",51
"38",60
"39",64
"40",54
"41",56
"42",67
"43",73
"44",52
"45",59
"46",69
"47",70
"48",51
"49",67
"50",61
"51",62
"52",56
"53",59
"54",51
"55",59
"56",32
"57",31
"58",55
"59",57
"60",69
"61",60
"62",53
"63",55
"64",64
"65",68
"66",60
