"","value"
"1",4.25
"2",4.42
"3",6.87
"4",4.58
"5",5.76
"6",4.9
"7",5.23
"8",6.14
"9",4.31
"10",4.32
"11",5.24
"12",7.4
"13",6.26
"14",5.16
"15",5.95
"16",4.7
"17",5.39
"18",4.39
"19",4.11
"20",4.41
"21",5.68
"22",2.99
"23",6.8
"24",4.84
"25",3.29
"26",2.51
"27",6.92
"28",4.68
"29",5.02
"30",3.26
"31",7.97
"32",4.81
"33",5.84
"34",5.18
"35",4.4
"36",4.05
"37",4.7
"38",4.58
"39",5.76
"40",7.44
"41",4.48
"42",1.74
"43",8.13
"44",3.77
"45",5.67
"46",4.9
"47",6.86
"48",7.52
"49",4.98
"50",4.34
"51",6.04
"52",5.33
"53",3.57
"54",6.44
"55",5.28
"56",8.99
"57",5.52
"58",5.9
"59",5.65
"60",4.48
"61",1.69
"62",3.81
"63",5.27
"64",5.14
"65",4.64
"66",3.21
"67",5.64
"68",3.7
"69",5.5
"70",4.01
"71",4.2
"72",4.32
"73",4.32
"74",2.94
