"","value"
"1",10
"2",15
"3",10
"4",10
"5",12
"6",10
"7",7
"8",7
"9",10
"10",14
"11",8
"12",17
"13",14
"14",18
"15",3
"16",9
"17",11
"18",10
"19",6
"20",12
"21",14
"22",10
"23",25
"24",29
"25",33
"26",33
"27",12
"28",19
"29",16
"30",19
"31",19
"32",12
"33",34
"34",15
"35",36
"36",29
"37",26
"38",21
"39",17
"40",19
"41",13
"42",20
"43",24
"44",12
"45",6
"46",14
"47",6
"48",12
"49",9
"50",11
"51",17
"52",12
"53",8
"54",14
"55",14
"56",12
"57",5
"58",8
"59",10
"60",3
"61",16
"62",8
"63",8
"64",7
"65",12
"66",6
"67",10
"68",8
"69",10
"70",5
"71",7
