"","value"
"1",-162
"2",537
"3",118
"4",-506
"5",-132
"6",433
"7",36
"8",-392
"9",-215
"10",207
"11",41
"12",-169
"13",-157
"14",289
"15",-5
"16",-235
"17",-106
"18",416
"19",154
"20",-125
"21",-216
"22",399
"23",231
"24",-438
"25",-99
"26",301
"27",130
"28",-204
"29",-146
"30",395
"31",65
"32",-253
"33",-227
"34",231
"35",58
"36",-211
"37",-79
"38",454
"39",279
"40",-182
"41",-340
"42",445
"43",-28
"44",-195
"45",-293
"46",299
"47",2
"48",-174
"49",-242
"50",254
"51",183
"52",-187
"53",-240
"54",343
"55",131
"56",-141
"57",-312
"58",612
"59",113
"60",-271
"61",-385
"62",561
"63",-42
"64",-307
"65",-241
"66",514
"67",194
