timestamp,value
0,28.571428571428566
1,31.985714285714288
2,32.17142857142857
3,27.11428571428571
4,29.914285714285715
5,26.071428571428566
6,29.45714285714286
7,23.085714285714285
8,28.857142857142858
9,23.0
10,22.185714285714283
11,22.45714285714286
12,23.628571428571433
13,26.285714285714285
14,22.457142857142856
15,21.285714285714285
16,18.128571428571426
17,21.67142857142857
18,15.97142857142857
19,16.34285714285714
20,15.057142857142859
21,16.714285714285715
22,13.914285714285715
23,13.928571428571429
24,12.785714285714288
25,15.228571428571428
26,12.514285714285714
27,11.899999999999997
28,16.47142857142857
29,13.857142857142856
30,14.414285714285715
31,13.414285714285713
32,15.185714285714285
33,16.12857142857143
34,14.342857142857142
35,18.614285714285717
36,19.699999999999996
37,19.728571428571428
38,17.528571428571432
39,20.314285714285713
40,20.91428571428571
41,18.67142857142857
42,21.614285714285717
43,23.04285714285714
44,20.17142857142857
45,16.7
46,22.82857142857143
47,25.571428571428573
48,23.185714285714287
49,24.2
50,23.514285714285712
51,21.97142857142857
52,25.271428571428572
53,27.228571428571424
54,30.95714285714286
55,27.085714285714285
56,24.914285714285715
57,29.32857142857143
58,31.557142857142857
59,23.014285714285712
60,21.47142857142857
61,27.857142857142854
62,26.47142857142857
63,25.099999999999998
64,22.757142857142856
65,21.0
66,24.900000000000002
67,19.985714285714288
68,19.371428571428574
69,18.914285714285715
70,15.599999999999998
71,18.2
72,15.042857142857143
73,16.528571428571432
74,12.857142857142858
75,14.914285714285715
76,12.685714285714285
77,13.185714285714285
78,13.028571428571428
79,13.37142857142857
80,10.485714285714286
81,15.342857142857143
82,14.5
83,17.714285714285715
84,15.142857142857142
85,19.571428571428573
86,20.02857142857143
87,16.442857142857143
88,15.37142857142857
89,18.928571428571427
90,17.314285714285713
91,18.585714285714285
92,18.771428571428572
93,16.457142857142856
94,22.014285714285712
95,21.58571428571429
96,28.671428571428574
97,25.02857142857143
98,26.2
99,22.271428571428572
100,20.685714285714283
101,24.75714285714286
102,22.714285714285715
103,25.942857142857147
104,24.61428571428571
105,24.12857142857143
106,19.442857142857143
107,27.085714285714285
108,29.042857142857144
109,30.542857142857144
